exp_name,member,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,final_val_loss,val_train_gap
exp_015_bs128_nl4_nh4_ne256_bsz16_mi50_dr0.1,member3,128,4,4,256,16,50,0.1,2.5456,-0.0035000000000002807
exp_015_bs64_nl4_nh4_ne256_bsz16_mi50_dr0.1,member1,64,4,4,256,16,50,0.1,2.5579,-0.010399999999999743
exp_016_bs128_nl4_nh4_ne256_bsz16_mi50_dr0.2,member3,128,4,4,256,16,50,0.2,2.5589,-0.004999999999999893
exp_031_bs128_nl4_nh8_ne256_bsz16_mi50_dr0.1,member3,128,4,8,256,16,50,0.1,2.5597,0.0031999999999996476
exp_015_bs128_nl6_nh4_ne256_bsz16_mi50_dr0.1,member4,128,6,4,256,16,50,0.1,2.5634,0.01980000000000004
exp_031_bs128_nl6_nh8_ne256_bsz16_mi50_dr0.1,member4,128,6,8,256,16,50,0.1,2.566,0.0031999999999996476
exp_032_bs128_nl4_nh8_ne256_bsz16_mi50_dr0.2,member3,128,4,8,256,16,50,0.2,2.5678,-0.0009000000000001229
exp_031_bs64_nl4_nh8_ne256_bsz16_mi50_dr0.1,member1,64,4,8,256,16,50,0.1,2.5699,0.011200000000000099
exp_016_bs128_nl6_nh4_ne256_bsz16_mi50_dr0.2,member4,128,6,4,256,16,50,0.2,2.5721,0.018199999999999772
exp_016_bs64_nl4_nh4_ne256_bsz16_mi50_dr0.2,member1,64,4,4,256,16,50,0.2,2.5735,-0.011499999999999844
